Country,Capital,Population (Millions),Area (km²),Continent
USA,Washington D.C.,328,9833517,North America
Canada,Ottawa,38,9984670,North America
Mexico,Mexico City,126,1964375,North America
France,Paris,67,640679,Europe
Germany,Berlin,83,357386,Europe
Italy,Rome,60,301340,Europe
Spain,Madrid,47,505990,Europe
UK,London,66,242495,Europe
Japan,Tokyo,126,377930,Asia
China,Beijing,1393,9596961,Asia
